id,grade,x_origin,y_origin,z_origin,x_destination,y_destination,z_destination,timeToImpact
17043,0,0.5,4.5200000032782555,0.5,0.470458984375,4.0048632845282555,20.690185546875,417
17045,1,0.5,4.5200000032782555,0.5,0.465576171875,4.0041308626532555,16.52880859375,355
17047,2,0.5,4.5200000032782555,0.5,0.404541015625,4.0043750032782555,15.234375,399
17049,3,0.5,4.5200000032782555,0.5,0.479736328125,4.0043750032782555,18.982177734375,399
17051,4,0.5,4.5200000032782555,0.5,0.492431640625,4.0043750032782555,19.1025390625,361
17053,5,0.5,4.5200000032782555,0.5,0.526611328125,4.0043750032782555,18.8828125,472
17055,6,0.5,4.5200000032782555,0.5,0.559326171875,4.0041308626532555,16.465576171875,360
17057,7,0.5,4.5200000032782555,0.5,0.6875,4.0043750032782555,19.32470703125,406
17059,8,0.5,4.5200000032782555,0.5,0.427978515625,4.0043750032782555,19.32421875,419
17061,9,0.5,4.5200000032782555,0.5,0.468994140625,4.0041308626532555,20.30126953125,450
17063,10,0.5,4.5200000032782555,0.5,0.409912109375,4.0038867220282555,17.301513671875,368
17065,11,0.5,4.5200000032782555,0.5,0.44384765625,4.0038867220282555,20.903564453125,404
17067,12,0.5,4.5200000032782555,0.5,0.429931640625,4.0038867220282555,17.930419921875,299
17070,13,0.5,4.5200000032782555,0.5,0.3173828125,4.0043750032782555,22.757080078125,469
17073,14,0.5,4.5200000032782555,0.5,0.563720703125,4.0041308626532555,20.55810546875,406
17075,15,0.5,4.5200000032782555,0.5,0.37890625,4.0046191439032555,22.5498046875,514
17077,16,0.5,4.5200000032782555,0.5,0.708251953125,4.0048632845282555,21.107421875,515
17079,17,0.5,4.5200000032782555,0.5,0.51806640625,4.0048632845282555,21.421630859375,434
17081,18,0.5,4.5200000032782555,0.5,0.564453125,4.0048632845282555,20.723388671875,499
17083,19,0.5,4.5200000032782555,0.5,1.00634765625,4.0043750032782555,23.046875,469
17086,20,0.5,4.5200000032782555,0.5,0.314208984375,4.0048632845282555,21.38037109375,472
17088,21,0.5,4.5200000032782555,0.5,0.9580078125,4.0043750032782555,22.763427734375,524
17091,22,0.5,4.5200000032782555,0.5,0.4873046875,4.0053515657782555,27.262451171875,578
17093,23,0.5,4.5200000032782555,0.5,0.674560546875,4.0048632845282555,24.88232421875,526
17095,24,0.5,4.5200000032782555,0.5,0.503173828125,4.0048632845282555,24.791748046875,465
17097,25,0.5,4.5200000032782555,0.5,0.255615234375,4.0048632845282555,24.9091796875,516
17100,26,0.5,4.5200000032782555,0.5,0.465576171875,4.0048632845282555,25.50732421875,513
17102,27,0.5,4.5200000032782555,0.5,0.624267578125,4.0051074251532555,24.083740234375,519
17104,28,0.5,4.5200000032782555,0.5,0.721923828125,4.0048632845282555,24.943115234375,511
17106,29,0.5,4.5200000032782555,0.5,0.705322265625,4.0055957064032555,31.577392578125,634
17108,30,0.5,4.5200000032782555,0.5,0.55908203125,4.0053515657782555,27.724365234375,621
17110,31,0.5,4.5200000032782555,0.5,0.78759765625,4.0048632845282555,25.667724609375,481
17112,32,0.5,4.5200000032782555,0.5,0.3896484375,4.0058398470282555,30.044189453125,648
